Title of anime,Ratings,Members,URL
"""Oshi no Ko"" 2nd Season",8.54,316000,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,7.92,270000,https://myanimelist.net/anime/54744/Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san
Kami no Tou: Ouji no Kikan,7.22,198000,https://myanimelist.net/anime/52635/Kami_no_Tou__Ouji_no_Kikan
Shikanoko Nokonoko Koshitantan,7.42,185000,https://myanimelist.net/anime/58426/Shikanoko_Nokonoko_Koshitantan
Tsue to Tsurugi no Wistoria,7.83,155000,https://myanimelist.net/anime/58059/Tsue_to_Tsurugi_no_Wistoria
Isekai Suicide Squad,6.61,134000,https://myanimelist.net/anime/55848/Isekai_Suicide_Squad
Make Heroine ga Oosugiru!,8.34,131000,https://myanimelist.net/anime/57524/Make_Heroine_ga_Oosugiru
Fairy Tail: 100-nen Quest,7.98,131000,https://myanimelist.net/anime/49785/Fairy_Tail__100-nen_Quest
Gimai Seikatsu,7.29,128000,https://myanimelist.net/anime/52481/Gimai_Seikatsu
Isekai Shikkaku,7.06,125000,https://myanimelist.net/anime/52367/Isekai_Shikkaku
Giji Harem,7.58,116000,https://myanimelist.net/anime/54968/Giji_Harem
"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",6.27,108000,https://myanimelist.net/anime/57892/Hazurewaku_no_Joutai_Ijou_Skill_de_Saikyou_ni_Natta_Ore_ga_Subete_wo_Juurin_suru_made
Nige Jouzu no Wakagimi,7.89,102000,https://myanimelist.net/anime/54724/Nige_Jouzu_no_Wakagimi
"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",6.82,98000,https://myanimelist.net/anime/57058/Ore_wa_Subete_wo_Parry_suru__Gyaku_Kanchigai_no_Sekai_Saikyou_wa_Boukensha_ni_Naritai
2.5-jigen no Ririsa,7.15,89000,https://myanimelist.net/anime/53802/25-jigen_no_Ririsa
Maougun Saikyou no Majutsushi wa Ningen datta,6.20,86000,https://myanimelist.net/anime/57876/Maougun_Saikyou_no_Majutsushi_wa_Ningen_datta
"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.",6.95,83000,https://myanimelist.net/anime/54913/Shinmai_Ossan_Boukensha_Saikyou_Party_ni_Shinu_hodo_Kitaerarete_Muteki_ni_Naru
Shoushimin Series,7.25,81000,https://myanimelist.net/anime/57810/Shoushimin_Series
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",6.85,79000,https://myanimelist.net/anime/49981/Kimi_to_Boku_no_Saigo_no_Senjou_Aruiwa_Sekai_ga_Hajimaru_Seisen_Season_II
Naze Boku no Sekai wo Daremo Oboeteinai no ka?,6.63,78000,https://myanimelist.net/anime/56062/Naze_Boku_no_Sekai_wo_Daremo_Oboeteinai_no_ka
NieR:Automata Ver1.1a Part 2,7.95,71000,https://myanimelist.net/anime/56063/NieR_Automata_Ver11a_Part_2
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,7.53,60000,https://myanimelist.net/anime/57217/Katsute_Mahou_Shoujo_to_Aku_wa_Tekitai_shiteita
Senpai wa Otokonoko,7.01,58000,https://myanimelist.net/anime/54855/Senpai_wa_Otokonoko
Atri: My Dear Moments,7.17,57000,https://myanimelist.net/anime/53128/Atri__My_Dear_Moments
Megami no Café Terrace 2nd Season,7.43,53000,https://myanimelist.net/anime/55749/Megami_no_Café_Terrace_2nd_Season
Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,6.56,50000,https://myanimelist.net/anime/57380/Isekai_Yururi_Kikou__Kosodateshinagara_Boukensha_Shimasu
VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta,7.02,49000,https://myanimelist.net/anime/54284/VTuber_Nandaga_Haishin_Kiri_Wasuretara_Densetsu_ni_Natteta
Mob kara Hajimaru Tansaku Eiyuutan,5.95,48000,https://myanimelist.net/anime/57646/Mob_kara_Hajimaru_Tansaku_Eiyuutan
Madougushi Dahliya wa Utsumukanai,6.81,46000,https://myanimelist.net/anime/56449/Madougushi_Dahliya_wa_Utsumukanai
Koi wa Futago de Warikirenai,6.64,46000,https://myanimelist.net/anime/55996/Koi_wa_Futago_de_Warikirenai
"Bye Bye, Earth",6.45,44000,https://myanimelist.net/anime/53626/Bye_Bye_Earth
Boku no Tsuma wa Kanjou ga Nai,6.43,43000,https://myanimelist.net/anime/58272/Boku_no_Tsuma_wa_Kanjou_ga_Nai
Tasogare Out Focus,7.26,36000,https://myanimelist.net/anime/55844/Tasogare_Out_Focus
Mayonaka Punch,7.03,35000,https://myanimelist.net/anime/57947/Mayonaka_Punch
Elf-san wa Yaserarenai.,5.62,35000,https://myanimelist.net/anime/57845/Elf-san_wa_Yaserarenai
Delico's Nursery,7.02,34000,https://myanimelist.net/anime/56179/Delicos_Nursery
Kono Sekai wa Fukanzen Sugiru,6.27,34000,https://myanimelist.net/anime/54835/Kono_Sekai_wa_Fukanzen_Sugiru
Dungeon no Naka no Hito,6.69,29000,https://myanimelist.net/anime/56348/Dungeon_no_Naka_no_Hito
Na Nare Hana Nare,6.44,25000,https://myanimelist.net/anime/57099/Na_Nare_Hana_Nare
Shy 2nd Season,6.96,22000,https://myanimelist.net/anime/57567/Shy_2nd_Season
Tasuuketsu,4.89,17000,https://myanimelist.net/anime/57945/Tasuuketsu
Sengoku Youko: Senma Konton-hen,7.21,16000,https://myanimelist.net/anime/58488/Sengoku_Youko__Senma_Konton-hen
Tensui no Sakuna-hime,6.50,14000,https://myanimelist.net/anime/58357/Tensui_no_Sakuna-hime
Ramen Akaneko,6.69,10000,https://myanimelist.net/anime/57325/Ramen_Akaneko
0-saiji Start Dash Monogatari,4.79,8200,https://myanimelist.net/anime/58985/0-saiji_Start_Dash_Monogatari
Grendizer U,6.01,6500,https://myanimelist.net/anime/56189/Grendizer_U
Kinnikuman: Kanpeki Chоujin Shiso-hen,6.59,6300,https://myanimelist.net/anime/54730/Kinnikuman__Kanpeki_Chоujin_Shiso-hen
Yami Shibai 13,5.92,2600,https://myanimelist.net/anime/59010/Yami_Shibai_13
Cardfight!! Vanguard: Divinez Season 2,6.64,1700,https://myanimelist.net/anime/54143/Cardfight_Vanguard__Divinez_Season_2
Maarui Kanojo to Zannen na Kareshi,N/A,1700,https://myanimelist.net/anime/59049/Maarui_Kanojo_to_Zannen_na_Kareshi
Egumi Legacy,5.93,1200,https://myanimelist.net/anime/58926/Egumi_Legacy
Mirai no Kuromaku-kei Akuyaku Reijou Moriarty no Isekai Kanzen Hanzai Hakusho,N/A,557,https://myanimelist.net/anime/59148/Mirai_no_Kuromaku-kei_Akuyaku_Reijou_Moriarty_no_Isekai_Kanzen_Hanzai_Hakusho
Jochum,N/A,355,https://myanimelist.net/anime/58944/Jochum
Harimaware! Koinu 2nd Season,N/A,351,https://myanimelist.net/anime/58506/Harimaware_Koinu_2nd_Season
Gendai Goyaku,N/A,254,https://myanimelist.net/anime/59011/Gendai_Goyaku
Nanashi Kaidan 3rd Season,N/A,246,https://myanimelist.net/anime/59649/Nanashi_Kaidan_3rd_Season
Ohayou! Unko-sensei,N/A,94,https://myanimelist.net/anime/59409/Ohayou_Unko-sensei
Hello Carbot Season 15,N/A,84,https://myanimelist.net/anime/59387/Hello_Carbot_Season_15
Yongisanda,N/A,24,https://myanimelist.net/anime/59685/Yongisanda
One Piece,8.72,2400000,https://myanimelist.net/anime/21/One_Piece
Meitantei Conan,8.17,355000,https://myanimelist.net/anime/235/Meitantei_Conan
Tensei shitara Slime Datta Ken 3rd Season,7.81,337000,https://myanimelist.net/anime/53580/Tensei_shitara_Slime_Datta_Ken_3rd_Season
Boku no Hero Academia 7th Season,7.89,295000,https://myanimelist.net/anime/54789/Boku_no_Hero_Academia_7th_Season
Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.02,195000,https://myanimelist.net/anime/51122/Ookami_to_Koushinryou__Merchant_Meets_the_Wise_Wolf
Yozakura-san Chi no Daisakusen,7.23,99000,https://myanimelist.net/anime/53865/Yozakura-san_Chi_no_Daisakusen
Crayon Shin-chan,7.79,86000,https://myanimelist.net/anime/966/Crayon_Shin-chan
Sasayaku You ni Koi wo Utau,6.90,81000,https://myanimelist.net/anime/54233/Sasayaku_You_ni_Koi_wo_Utau
The Fable,7.50,52000,https://myanimelist.net/anime/55911/The_Fable
Pokemon (2023),7.40,32000,https://myanimelist.net/anime/53876/Pokemon_2023
Karasu wa Aruji wo Erabanai,7.68,32000,https://myanimelist.net/anime/56980/Karasu_wa_Aruji_wo_Erabanai
Doraemon (2005),7.70,21000,https://myanimelist.net/anime/8687/Doraemon_2005
Gudetama,7.04,13000,https://myanimelist.net/anime/23539/Gudetama
Sazae-san,6.12,8600,https://myanimelist.net/anime/2406/Sazae-san
Nintama Rantarou,7.07,7800,https://myanimelist.net/anime/1199/Nintama_Rantarou
Chibi Maruko-chan (1995),7.32,6500,https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
Wonderful Precure!,7.33,6400,https://myanimelist.net/anime/57390/Wonderful_Precure
Yu☆Gi☆Oh! Go Rush!!,5.65,6300,https://myanimelist.net/anime/50607/Yu☆Gi☆Oh_Go_Rush
Shinkalion: Change the World,5.64,6200,https://myanimelist.net/anime/57798/Shinkalion__Change_the_World
Tousouchuu: Great Mission,5.65,5700,https://myanimelist.net/anime/54040/Tousouchuu__Great_Mission
Chiikawa,7.18,4500,https://myanimelist.net/anime/50250/Chiikawa
Sore Ike! Anpanman,6.54,4500,https://myanimelist.net/anime/1960/Sore_Ike_Anpanman
Beyblade X,6.81,3700,https://myanimelist.net/anime/56566/Beyblade_X
Bonobono (TV 2016),6.39,3200,https://myanimelist.net/anime/32353/Bonobono_TV_2016
Ninjala (TV),5.52,2900,https://myanimelist.net/anime/50418/Ninjala_TV
Himitsu no AiPri,6.17,2700,https://myanimelist.net/anime/57946/Himitsu_no_AiPri
Shikaru Neko,N/A,2300,https://myanimelist.net/anime/48442/Shikaru_Neko
Ojarumaru,6.37,2100,https://myanimelist.net/anime/4459/Ojarumaru
Shadowverse Flame: Arc-hen,6.41,2100,https://myanimelist.net/anime/57614/Shadowverse_Flame__Arc-hen
